Time,MyBus0
0s,25
110ns,17
120ns,23
310ns,17
320ns,25
710ns,17
720ns,23
910ns,17
920ns,25
1.72us,27
1.91us,25
3.12us,26
3.31us,24
3.32us,25
3.52us,27
3.91us,25
4.11us,24
4.52us,27
5.91us,25
6.12us,27
7.71us,25
7.72us,29
8.71us,28
8.72us,30
8.91us,28
8.92us,29
9.11us,28
9.32us,29
10.72us,30
10.91us,28
10.92us,29
11.72us,31
11.91us,29
12.32us,30
12.51us,28
12.52us,29
12.72us,31
14.51us,1
14.52us,32
14.71us,0
14.72us,31
15.11us,3
15.12us,33
15.31us,1
15.32us,31
15.51us,23
15.52us,32
15.72us,33
15.91us,1
15.92us,31
16.11us,19
16.12us,32
16.32us,31
16.51us,3
16.52us,33
16.71us,1
16.72us,31
16.91us,1
16.92us,33
17.11us,1
17.12us,31
17.31us,3
17.32us,32
17.52us,33
18.31us,1
18.32us,31
18.51us,19
18.52us,32
18.72us,33
18.92us,35
19.11us,33
20.92us,34
21.31us,32
21.32us,33
21.72us,35
21.92us,34
22.12us,35
22.52us,34
22.71us,32
22.72us,37
22.91us,33
22.92us,35
23.51us,33
23.52us,36
23.71us,32
23.72us,35
24.11us,33
24.12us,36
24.31us,32
24.32us,34
24.52us,35
24.71us,33
24.72us,36
24.91us,32
24.92us,35
25.11us,33
25.12us,37
25.31us,33
25.32us,35
25.91us,33
25.92us,36
26.11us,32
26.12us,35
26.51us,33
26.52us,36
26.71us,32
26.72us,35
26.91us,33
26.92us,37
27.12us,36
27.32us,37
28.12us,36
28.72us,37
28.92us,38
29.11us,36
29.32us,38
29.51us,34
29.52us,35
29.72us,39
29.91us,37
30.52us,44
30.71us,36
30.92us,38
31.51us,36
31.52us,37
31.72us,39
31.92us,38
32.11us,36
32.12us,37
32.32us,39
32.51us,37
32.72us,39
32.91us,37
33.12us,38
33.32us,39
33.52us,38
33.72us,39
33.91us,37
34.12us,38
34.32us,39
34.52us,38
34.72us,39
35.32us,38
35.51us,36
35.52us,37
35.72us,39
36.91us,35
36.92us,40
37.31us,32
37.32us,39
37.51us,33
37.52us,41
37.71us,33
37.72us,39
38.11us,33
38.12us,41
38.31us,33
38.32us,39
38.51us,33
38.52us,40
38.71us,32
38.72us,39
38.91us,33
38.92us,41
39.11us,33
39.12us,39
39.31us,33
39.32us,41
39.52us,40
39.71us,32
39.72us,39
39.91us,33
39.92us,41
40.92us,40
41.12us,41
41.72us,42
41.91us,40
42.12us,41
43.32us,43
43.52us,41
43.92us,43
44.11us,41
44.92us,43
45.12us,42
45.32us,43
45.51us,41
45.72us,42
46.72us,43
46.92us,42
47.12us,43
47.31us,41
47.52us,44
47.71us,40
47.72us,43
47.91us,41
48.12us,43
48.32us,42
48.52us,43
48.91us,41
49.12us,43
49.72us,42
49.92us,43
50.31us,41
50.52us,43
50.72us,42
50.92us,43
52.51us,41
52.72us,44
52.92us,45
53.11us,41
53.12us,43
53.31us,41
53.32us,45
53.52us,44
53.71us,40
53.72us,43
54.91us,41
54.92us,44
55.12us,45
55.51us,33
55.52us,49
55.71us,33
55.72us,45
55.92us,44
56.11us,40
56.12us,43
56.31us,41
56.32us,45
56.72us,44
56.92us,45
57.31us,41
57.32us,43
57.51us,41
57.52us,45
58.31us,41
58.32us,43
58.51us,41
58.52us,45
60.32us,44
60.52us,45
60.92us,47
61.11us,45
62.11us,41
62.12us,43
62.32us,47
62.51us,45
62.72us,46
63.11us,44
63.12us,45
63.32us,47
63.51us,45
64.12us,44
64.32us,45
64.52us,46
64.72us,45
65.32us,46
65.52us,43
65.72us,46
65.92us,45
66.32us,47
66.52us,45
66.92us,47
67.12us,45
67.92us,46
68.12us,47
68.32us,45
68.52us,46
68.72us,47
68.91us,45
69.12us,47
69.32us,46
69.51us,44
69.52us,45
69.72us,47
69.91us,45
70.12us,47
70.52us,46
70.71us,44
70.72us,45
70.92us,46
71.51us,44
71.52us,45
71.72us,47
71.92us,46
72.11us,44
72.12us,45
72.32us,47
72.51us,45
72.72us,46
72.92us,47
73.11us,45
73.32us,47
73.52us,46
73.72us,47
74.52us,46
74.72us,47
74.91us,45
75.32us,47
75.52us,46
75.72us,47
76.51us,45
76.72us,47
76.92us,46
77.11us,44
77.12us,45
77.32us,46
77.52us,47
77.92us,46
78.12us,47
78.32us,46
78.52us,47
79.11us,33
79.12us,48
79.31us,32
79.32us,47
79.71us,45
79.92us,47
80.51us,33
80.52us,49
80.71us,33
80.72us,46
80.92us,47
81.51us,33
81.52us,49
81.71us,33
81.72us,47
82.72us,46
82.91us,32
82.92us,48
83.11us,32
83.12us,45
83.31us,33
83.32us,49
83.71us,33
83.72us,47
84.72us,46
84.92us,47
85.31us,39
85.32us,49
85.51us,33
85.52us,47
85.71us,39
85.72us,49
85.91us,33
85.92us,47
86.12us,46
86.31us,38
86.32us,48
86.51us,32
86.52us,47
86.71us,39
86.72us,48
86.91us,32
86.92us,47
87.12us,46
87.32us,48
87.51us,32
87.52us,47
88.12us,48
88.32us,45
88.52us,47
88.92us,46
89.12us,47
89.32us,48
89.52us,47
90.52us,48
90.72us,46
90.92us,47
91.12us,48
91.32us,45
91.52us,48
91.72us,47
91.92us,45
92.12us,47
95.12us,46
95.32us,47
95.52us,44
95.72us,47
96.12us,46
96.32us,47
96.52us,46
96.72us,47
97.12us,45
97.32us,47
97.52us,45
97.72us,47
98.32us,45
98.52us,47
